0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,Year,Natural_Calamities,Wind_speed,Rainfall_Actual,Rainfall_Normal,Population_Urban,Population_Rural,Fishing_Inland,Fishing_Marine,Harbour_Plastic,Beach_plastics,Climate_change,Plastic_entering_sea
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,1,13.3,1114.8,1426.7,1407000,2595000,0.78,0,0,0,0,1242.26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1,22.8,1374.1,1560.7,53100000,172867000,6.99,0,0,0,0,55131.76
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,19.8,960.4,1176.9,3822000,7362000,0.05,0,0,0,1,5917.86
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,1,30,2825,3152.3,34247000,62862000,16.19,1.63,295.82,587.25,0,30012.29
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,34.4,1569.2,1682.5,165000,231000,0,0.4,0,0,0,457.27
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,33.45,833.7,979.4,17531000,34501000,33.91,6,29.8,12127.8,0,24540.26
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9.9,1198.4,1768,367000,1126000,0.05,0,0,0,0,1032.52
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,10.15,1322.9,1792.8,5104000,28939000,3.31,0,0,0,0,4929.63
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,22.6,770.8,1027.6,14088000,104245000,6.02,0,0,0,0,8657.68
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,18,423.1,466.3,1162000,8000,0.01,0,0,0,0,1790.98
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,20.85,1101.5,1153.3,7295000,21173000,4.89,0,0,0,0,6287.49
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,23.2,1012.1,1392.2,438000,239000,0,0.28,0,996.025,0,373.44
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,18,423.1,466.3,19364000,197000,0.01,0,0,0,0,41219.26
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,23.5,2883.4,2914.7,1084000,450000,0.05,1.15,286.07,996.025,0,900.86
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,25.1,1012.1,1392.2,31235000,36084000,1.42,6.99,247.09,15126,0,40834.39
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,19.8,423.1,466.3,11173000,17228000,1.8,0,0,0,0,17665.14
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,16.6,917.3,825.3,741000,6527000,0.13,0,0,0,1,1482.32
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,13,597.3,534.6,3854000,9281000,0.21,0,0,0,0,5832.24
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,17.95,784.3,1091.9,9397000,27650000,2.08,0,0,0,0,8402.37
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,29.65,4104.9,4249.8,27604000,37846000,1.98,3.9,43.66,3484.39,0,45567.15
